0.4086, 0.0008, -0.3115, -0.1273 
0.4087, 0.0005, -0.2085, -0.0852 
0.4087, 0.0001, -0.0801, -0.0328 
0.4091, 0.0105, 0.0000, 0.0000 
0.4110, 0.0281, 0.0000, 0.0000 
0.4147, 0.0457, 0.0000, 0.0000 
0.4201, 0.0633, 0.0000, 0.0000 
0.4273, 0.0808, 0.0000, 0.0000 
0.4363, 0.0984, 0.0000, 0.0000 
0.4470, 0.1160, 0.0000, 0.0000 
0.4595, 0.1335, 0.0000, 0.0000 
0.4737, 0.1511, 0.0000, 0.0000 
0.4897, 0.1687, 0.0000, 0.0000 
0.5074, 0.1862, 0.0000, 0.0000 
0.5255, 0.1722, 0.0000, 0.0000 
0.5419, 0.1546, 0.0000, 0.0000 
0.5565, 0.1370, 0.0000, 0.0000 
0.5693, 0.1195, 0.0000, 0.0000 
0.5803, 0.1019, 0.0000, 0.0000 
0.5897, 0.0843, 0.0000, 0.0000 
0.5972, 0.0668, 0.0000, 0.0000 
0.6030, 0.0492, 0.0000, 0.0000 
0.6071, 0.0316, 0.0000, 0.0000 
0.6093, 0.0141, 0.0000, 0.0000 
0.6099, 0.0000, 0.0000, 0.0000 
0.6099, 0.0000, 0.0000, 0.0000 
0.6099, 0.0000, 0.0000, 0.0000 
0.6099, 0.0000, 0.0000, 0.0000 
0.6099, 0.0000, 0.0000, 0.0000 
0.6099, 0.0000, 0.0000, 0.0000 
0.6099, 0.0000, 0.0000, 0.0000 
0.6099, 0.0000, 0.0000, 0.0000 
0.6099, 0.0000, 0.0000, 0.0000 
0.6099, 0.0000, 0.0000, 0.0000 
0.6099, 0.0000, 0.0000, 0.0000 
0.6098, -0.0021, 0.0000, 0.0000 
0.6094, -0.0064, 0.0000, 0.0000 
0.6086, -0.0107, 0.0000, 0.0000 
0.6073, -0.0150, 0.0000, 0.0000 
0.6056, -0.0193, 0.0000, 0.0000 
0.6034, -0.0236, 0.0000, 0.0000 
0.6008, -0.0279, 0.0000, 0.0000 
0.5978, -0.0322, 0.0000, 0.0000 
0.5944, -0.0365, 0.0000, 0.0000 
0.5905, -0.0408, 0.0000, 0.0000 
0.5862, -0.0451, 0.0000, 0.0000 
0.5818, -0.0425, 0.0000, 0.0000 
0.5778, -0.0382, 0.0000, 0.0000 
0.5741, -0.0339, 0.0000, 0.0000 
0.5710, -0.0296, 0.0000, 0.0000 
0.5682, -0.0253, 0.0000, 0.0000 
0.5659, -0.0210, 0.0000, 0.0000 
0.5640, -0.0167, 0.0000, 0.0000 
0.5626, -0.0125, 0.0000, 0.0000 
0.5615, -0.0082, 0.0000, 0.0000 
0.5609, -0.0039, 0.0000, 0.0000 
0.5607, 0.0000, 0.0000, 0.0000 
0.5608, 0.0019, -0.0688, -0.0386 
0.5611, 0.0038, -0.1299, -0.0729 
0.5616, 0.0056, -0.1826, -0.1025 
0.5623, 0.0075, -0.2269, -0.1276 
0.5631, 0.0094, -0.2632, -0.1482 
0.5641, 0.0113, -0.2919, -0.1647 
0.5654, 0.0132, -0.3137, -0.1773 
0.5668, 0.0150, -0.3294, -0.1867 
0.5684, 0.0169, -0.3398, -0.1931 
0.5701, 0.0188, -0.3458, -0.1971 
0.5721, 0.0207, -0.3482, -0.1992 
0.5741, 0.0188, -0.3476, -0.1996 
0.5759, 0.0169, -0.3448, -0.1986 
0.5775, 0.0150, -0.3403, -0.1965 
0.5789, 0.0132, -0.3346, -0.1937 
0.5801, 0.0113, -0.3282, -0.1904 
0.5811, 0.0094, -0.3215, -0.1868 
0.5820, 0.0075, -0.3147, -0.1832 
0.5827, 0.0056, -0.3082, -0.1796 
0.5831, 0.0038, -0.3020, -0.1761 
0.5834, 0.0019, -0.2963, -0.1729 
0.5835, 0.0000, -0.2912, -0.1699 
0.5835, 0.0000, -0.2869, -0.1674 
0.5835, 0.0000, -0.2833, -0.1653 
0.5835, 0.0000, -0.2805, -0.1637 
0.5835, 0.0000, -0.2786, -0.1626 
0.5835, 0.0000, -0.2775, -0.1619 
0.5835, 0.0000, -0.2773, -0.1618 
0.5835, 0.0000, -0.2779, -0.1622 
0.5835, 0.0000, -0.2794, -0.1630 
0.5835, 0.0000, -0.2818, -0.1644 
0.5835, 0.0000, -0.2849, -0.1662 
0.5835, 0.0000, -0.2889, -0.1686 
0.5835, -0.0003, -0.2936, -0.1713 
0.5834, -0.0007, -0.2991, -0.1745 
0.5833, -0.0011, -0.3052, -0.1780 
0.5832, -0.0015, -0.3118, -0.1818 
0.5830, -0.0018, -0.3188, -0.1859 
0.5828, -0.0022, -0.3260, -0.1900 
0.5826, -0.0026, -0.3332, -0.1941 
0.5823, -0.0030, -0.3400, -0.1980 
0.5820, -0.0033, -0.3459, -0.2013 
0.5817, -0.0037, -0.3506, -0.2039 
0.5813, -0.0041, -0.3532, -0.2053 
0.5809, -0.0038, -0.3532, -0.2052 
0.5805, -0.0034, -0.3497, -0.2030 
0.5802, -0.0030, -0.3418, -0.1983 
0.5799, -0.0027, -0.3284, -0.1904 
0.5796, -0.0023, -0.3086, -0.1789 
0.5794, -0.0019, -0.2814, -0.1630 
0.5793, -0.0015, -0.2460, -0.1425 
0.5791, -0.0012, -0.2016, -0.1168 
0.5790, -0.0008, -0.1480, -0.0857 
0.5790, -0.0004, -0.0851, -0.0493 
0.5789, -0.0000, -0.0137, -0.0079 
0.5789, -0.0001, -0.0592, -0.0343 
0.5789, -0.0002, -0.1256, -0.0727 
0.5789, -0.0003, -0.1826, -0.1057 
0.5789, -0.0005, -0.2303, -0.1333 
0.5788, -0.0006, -0.2688, -0.1556 
0.5787, -0.0007, -0.2988, -0.1729 
0.5787, -0.0008, -0.3211, -0.1858 
0.5786, -0.0009, -0.3365, -0.1947 
0.5785, -0.0011, -0.3461, -0.2002 
0.5784, -0.0012, -0.3509, -0.2030 
0.5782, -0.0013, -0.3519, -0.2035 
0.5781, -0.0012, -0.3498, -0.2023 
0.5780, -0.0011, -0.3457, -0.1998 
0.5779, -0.0010, -0.3400, -0.1965 
0.5778, -0.0009, -0.3334, -0.1926 
0.5777, -0.0007, -0.3263, -0.1885 
0.5777, -0.0006, -0.3190, -0.1843 
0.5776, -0.0005, -0.3119, -0.1801 
0.5776, -0.0004, -0.3051, -0.1762 
0.5775, -0.0003, -0.2988, -0.1726 
0.5775, -0.0001, -0.2931, -0.1693 
0.5775, -0.0000, -0.2881, -0.1664 
0.5775, 0.0000, -0.2838, -0.1639 
0.5775, 0.0000, -0.2803, -0.1619 
0.5775, 0.0000, -0.2776, -0.1603 
0.5775, 0.0000, -0.2758, -0.1592 
0.5775, 0.0000, -0.2747, -0.1586 
0.5775, 0.0000, -0.2745, -0.1585 
0.5775, 0.0000, -0.2750, -0.1588 
0.5775, 0.0000, -0.2765, -0.1597 
0.5775, 0.0000, -0.2787, -0.1609 
0.5775, 0.0000, -0.2817, -0.1627 
0.5775, 0.0000, -0.2856, -0.1649 
0.5775, 0.0001, -0.2902, -0.1676 
0.5775, 0.0002, -0.2955, -0.1706 
0.5775, 0.0003, -0.3014, -0.1741 
0.5776, 0.0004, -0.3079, -0.1779 
0.5776, 0.0006, -0.3149, -0.1819 
0.5777, 0.0007, -0.3221, -0.1861 
0.5778, 0.0008, -0.3294, -0.1903 
0.5779, 0.0009, -0.3363, -0.1943 
0.5780, 0.0010, -0.3426, -0.1980 
0.5781, 0.0012, -0.3477, -0.2010 
0.5782, 0.0013, -0.3510, -0.2030 
0.5783, 0.0012, -0.3519, -0.2035 
0.5784, 0.0011, -0.3494, -0.2021 
0.5785, 0.0010, -0.3426, -0.1982 
0.5786, 0.0009, -0.3307, -0.1913 
0.5787, 0.0008, -0.3124, -0.1808 
0.5788, 0.0006, -0.2870, -0.1661 
0.5788, 0.0005, -0.2534, -0.1467 
0.5789, 0.0004, -0.2110, -0.1221 
0.5789, 0.0003, -0.1593, -0.0922 
0.5789, 0.0002, -0.0982, -0.0569 
0.5789, 0.0000, -0.0282, -0.0163 
0.5791, 0.0067, 0.0000, 0.0000 
0.5804, 0.0178, 0.0000, 0.0000 
0.5827, 0.0289, 0.0000, 0.0000 
0.5861, 0.0400, 0.0000, 0.0000 
0.5907, 0.0511, 0.0000, 0.0000 
0.5964, 0.0622, 0.0000, 0.0000 
0.6031, 0.0733, 0.0000, 0.0000 
0.6110, 0.0844, 0.0000, 0.0000 
0.6200, 0.0955, 0.0000, 0.0000 
0.6301, 0.1066, 0.0000, 0.0000 
0.6413, 0.1177, 0.0000, 0.0000 
0.6536, 0.1288, 0.0000, 0.0000 
0.6671, 0.1399, 0.0000, 0.0000 
0.6816, 0.1510, 0.0000, 0.0000 
0.6962, 0.1399, 0.0000, 0.0000 
0.7096, 0.1288, 0.0000, 0.0000 
0.7219, 0.1177, 0.0000, 0.0000 
0.7331, 0.1066, 0.0000, 0.0000 
0.7432, 0.0955, 0.0000, 0.0000 
0.7522, 0.0844, 0.0000, 0.0000 
0.7601, 0.0733, 0.0000, 0.0000 
0.7669, 0.0622, 0.0000, 0.0000 
0.7726, 0.0511, 0.0000, 0.0000 
0.7771, 0.0400, 0.0000, 0.0000 
0.7805, 0.0289, 0.0000, 0.0000 
0.7829, 0.0178, 0.0000, 0.0000 
0.7841, 0.0067, 0.0000, 0.0000 
0.7843, -0.0000, 0.0000, 0.0000 
0.7843, -0.0000, 0.0000, 0.0000 
0.7843, -0.0000, -0.0000, -0.0000 
0.7843, -0.0000, -0.0000, -0.0000 
0.7843, -0.0000, -0.0000, -0.0000 
0.7843, -0.0000, -0.0000, -0.0000 
0.7843, -0.0000, -0.0000, -0.0000 
0.7843, -0.0000, -0.0000, -0.0000 
0.7843, -0.0000, -0.0000, -0.0000 
0.7843, -0.0000, -0.0000, -0.0000 
0.7843, -0.0000, -0.0000, -0.0000 
0.7843, -0.0000, -0.0000, -0.0000 
0.7843, -0.0000, -0.0000, -0.0000 
0.7843, -0.0000, -0.0000, -0.0000 
0.7833, -0.0297, -0.0000, -0.0000 
0.7782, -0.0721, -0.0000, -0.0000 
0.7688, -0.1145, -0.0000, -0.0000 
0.7553, -0.1569, -0.0000, -0.0000 
0.7375, -0.1993, -0.0000, -0.0000 
0.7154, -0.2417, -0.0000, -0.0000 
0.6891, -0.2841, -0.0000, -0.0000 
0.6586, -0.3265, -0.0000, -0.0000 
0.6238, -0.3689, -0.0000, -0.0000 
0.5848, -0.4113, -0.0000, -0.0000 
0.5416, -0.4537, -0.0000, -0.0000 
0.4941, -0.4961, -0.0000, -0.0000 
0.4423, -0.5385, -0.0000, -0.0000 
0.3864, -0.5725, -0.0000, -0.0000 
0.3313, -0.5300, -0.0000, -0.0000 
0.2804, -0.4876, -0.0000, -0.0000 
0.2338, -0.4452, -0.0000, -0.0000 
0.1913, -0.4028, -0.0000, -0.0000 
0.1532, -0.3604, -0.0000, -0.0000 
0.1193, -0.3180, -0.0000, -0.0000 
0.0896, -0.2756, -0.0000, -0.0000 
0.0641, -0.2332, -0.0000, -0.0000 
0.0429, -0.1908, -0.0000, -0.0000 
0.0260, -0.1484, -0.0000, -0.0000 
0.0133, -0.1060, -0.0000, -0.0000 
0.0048, -0.0636, -0.0000, -0.0000 
0.0005, -0.0212, -0.0000, -0.0000 
